"path";"PDF";"original";"extracted";"PublicationType";"Title";"Publicationtype";"Abstract";"Keywords";"Authors";"Emails";"Author-Emails";"Affiliations";"Author-Affiliations";"Source";"Volume";"Issue";"Page from";"Page to";"Location";"Date";"Doi";"Sections";"Section-Levels";"Section-References";"References";"Precision";"Recall";"F1"
"TUW-176087";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-176087.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-176087-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-176087-xstream.xml"")";"Buchbeiträge";"100,00";"0,00";"100,00";"100,00";"100,00";"0,00";"0,00";"83,33";"75,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"66,67";"96,55";"87,12";"69,36";"70,89"
"TUW-177140";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-177140.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-177140-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-177140-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"0,00";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"66,67";"66,67";"57,14";"100,00";"87,50";"80,00";"82,54"
"TUW-179146";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-179146.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-179146-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-179146-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"100,00";"NA";"100,00";"NA";"NA";"66,67";"66,67";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"90,91";"100,00";"96,67";"90,00";"92,42"
"TUW-180162";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-180162.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-180162-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-180162-xstream.xml"")";"Beiträge in Tagungsbänden";"0,00";"100,00";"100,00";"NA";"100,00";"50,00";"50,00";"50,00";"66,67";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"93,33";"100,00";"80,00";"100,00";"95,15";"69,51";"74,17"
"TUW-181199";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-181199.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-181199-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-181199-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"100,00";"NA";"100,00";"66,67";"66,67";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"90,91";"90,91";"85,71";"100,00";"91,67";"95,14";"91,74"
"TUW-182414";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-182414.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-182414-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-182414-xstream.xml"")";"Zeitschriftenartikel";"100,00";"0,00";"0,00";"NA";"80,00";"100,00";"100,00";"66,67";"40,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"57,14";"66,67";"0,00";"70,59";"70,91";"54,08";"56,75"
"TUW-182899";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-182899.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-182899-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-182899-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"100,00";"57,14";"66,67";"66,67";"66,67";"100,00";"33,33";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"78,26";"100,00";"76,15";"61,74";"66,83"
"TUW-185321";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-185321.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-185321-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-185321-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"0,00";"NA";"40,00";"NA";"NA";"100,00";"40,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"88,89";"NA";"0,00";"100,00";"68,33";"66,67";"63,21"
"TUW-185441";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-185441.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-185441-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-185441-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"0,00";"NA";"100,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"42,86";"0,00";"0,00";"100,00";"71,43";"64,29";"64,29"
"TUW-186227";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-186227.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-186227-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-186227-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"0,00";"NA";"100,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"28,57";"0,00";"50,00";"100,00";"75,40";"67,86";"67,86"
"TUW-189842";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-189842.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-189842-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-189842-xstream.xml"")";"Beiträge in Tagungsbänden";"0,00";"100,00";"100,00";"0,00";"21,43";"0,00";"0,00";"18,18";"0,00";"0,00";"NA";"NA";"NA";"NA";"0,00";"NA";"NA";"85,71";"NA";"100,00";"80,00";"55,56";"37,95";"36,09"
"TUW-191715";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-191715.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-191715-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-191715-xstream.xml"")";"Zeitschriftenartikel";"100,00";"0,00";"100,00";"72,73";"100,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"97,67";"97,67";"15,38";"98,51";"79,21";"81,30";"80,18"
"TUW-191977";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-191977.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-191977-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-191977-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"0,00";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"100,00";"100,00";"91,67";"91,67";"91,67"
"TUW-192724";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-192724.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-192724-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-192724-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"100,00";"100,00";"100,00";"66,67";"66,67";"100,00";"75,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"80,00";"100,00";"96,92";"89,74";"91,41"
"TUW-194085";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-194085.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-194085-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-194085-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"NA";"40,00";"NA";"NA";"66,67";"0,00";"NA";"NA";"NA";"NA";"NA";"0,00";"100,00";"NA";"80,00";"77,48";"0,00";"97,14";"38,99";"46,33";"38,44"
"TUW-194561";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-194561.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-194561-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-194561-xstream.xml"")";"Zeitschriftenartikel";"100,00";"0,00";"100,00";"NA";"100,00";"NA";"NA";"0,00";"0,00";"0,00";"0,00";"NA";"100,00";"100,00";"NA";"NA";"100,00";"70,59";"100,00";"66,67";"100,00";"71,50";"68,57";"62,48"
"TUW-194660";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-194660.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-194660-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-194660-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"100,00";"NA";"100,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"60,00";"0,00";"0,00";"53,33";"70,00";"74,00";"71,33"
"TUW-197422";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-197422.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-197422-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-197422-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"100,00";"NA";"100,00";"NA";"NA";"50,00";"50,00";"100,00";"NA";"NA";"NA";"NA";"NA";"0,00";"NA";"94,74";"94,74";"0,00";"91,67";"81,82";"78,60";"73,43"
"TUW-197852";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-197852.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-197852-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-197852-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"100,00";"0,00";"50,00";"NA";"NA";"100,00";"66,67";"100,00";"100,00";"NA";"NA";"NA";"NA";"0,00";"NA";"100,00";"100,00";"0,00";"100,00";"65,28";"69,23";"58,33"
"TUW-198400";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-198400.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-198400-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-198400-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"100,00";"NA";"100,00";"100,00";"100,00";"66,67";"66,67";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"46,15";"98,18";"93,89";"87,55";"89,81"
"TUW-198401";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-198401.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-198401-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-198401-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"100,00";"100,00";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"80,00";"80,00";"0,00";"90,91";"92,31";"85,90";"88,53"
"TUW-198405";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-198405.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-198405-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-198405-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"100,00";"NA";"100,00";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"76,92";"90,91";"100,00";"100,00";"96,43";"63,89";"63,99"
"TUW-198408";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-198408.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-198408-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-198408-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"100,00";"NA";"100,00";"100,00";"100,00";"50,00";"50,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"53,33";"57,14";"0,00";"98,11";"82,47";"75,88";"75,72"
"TUW-200745";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-200745.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-200745-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-200745-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"NA";"66,67";"NA";"NA";"100,00";"66,67";"NA";"NA";"NA";"NA";"NA";"0,00";"0,00";"NA";"21,74";"22,86";"0,00";"82,05";"41,96";"35,57";"30,00"
"TUW-200748";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-200748.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-200748-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-200748-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"NA";"50,00";"NA";"NA";"100,00";"66,67";"NA";"NA";"NA";"NA";"NA";"0,00";"100,00";"NA";"75,25";"83,02";"83,33";"100,00";"58,28";"60,67";"54,86"
"TUW-200948";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-200948.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-200948-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-200948-xstream.xml"")";"Zeitschriftenartikel";"100,00";"0,00";"100,00";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"90,91";"100,00";"80,00";"100,00";"88,61";"90,00";"89,24"
"TUW-200950";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-200950.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-200950-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-200950-xstream.xml"")";"Zeitschriftenartikel";"100,00";"0,00";"100,00";"0,00";"100,00";"80,00";"80,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"90,00";"100,00";"0,00";"100,00";"81,82";"77,78";"73,08"
"TUW-200959";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-200959.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-200959-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-200959-xstream.xml"")";"Zeitschriftenartikel";"100,00";"0,00";"100,00";"NA";"100,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"0,00";"NA";"62,07";"94,74";"40,00";"100,00";"71,35";"74,81";"72,44"
"TUW-201066";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-201066.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-201066-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-201066-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"NA";"100,00";"NA";"NA";"66,67";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"0,00";"100,00";"81,25";"77,78";"74,07"
"TUW-201160";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-201160.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-201160-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-201160-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"NA";"100,00";"NA";"NA";"66,67";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"57,14";"100,00";"83,33";"82,22";"80,42"
"TUW-201167";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-201167.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-201167-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-201167-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"NA";"100,00";"0,00";"0,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"80,00";"80,00";"0,00";"100,00";"72,73";"81,48";"69,09"
"TUW-201821";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-201821.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-201821-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-201821-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"100,00";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"0,00";"NA";"90,91";"100,00";"60,00";"100,00";"87,95";"96,67";"88,53"
"TUW-202034";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-202034.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-202034-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\grobid\grobid-TUW-202034-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"NA";"40,00";"NA";"NA";"0,00";"0,00";"NA";"NA";"NA";"NA";"NA";"0,00";"0,00";"NA";"80,70";"68,97";"53,85";"100,00";"35,56";"32,02";"28,63"
