"path";"PDF";"original";"extracted";"original value";"extracted value";"Precision";"Recall";"F1"
"TUW-137078";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-137078-xstream.xml"")";"INTRODUCTION --- ref1
EVALUATION METHODS --- ref6 ref4 ref3 ref5 ref2";"INTRODUCTION --- ref1
EVALUATION METHODS --- ref6 ref4 ref3 ref2";"100,00";"100,00";"100,00"
"TUW-138011";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138011-xstream.xml"")";"Linking: the relation between a formal and informal guideline --- ref5 ref6
Introduction --- ref2 ref3 ref7 ref9 ref5
The case study --- ref9 ref10 ref1 ref8 ref9 ref4 ref10";"";"none extracted value";"0,00";"0,00"
"TUW-138447";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138447.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138447-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138447-xstream.xml"")";"Results --- ref9 ref7 ref11 ref19 ref15 ref10 ref6 ref9 ref7 ref11 ref19 ref13 ref13 ref10 ref6 ref6 ref10
Linear network models --- ref15
Forward selection --- ref15 ref18 ref9 ref7 ref11 ref19 ref14
STATE OF THE ART --- ref16 ref3 ref20 ref2 ref15 ref4 ref6 ref10 ref6
Neural networks --- ref5 ref1 ref5 ref15 ref1
Training and test sets --- ref13
Non–linear network models --- ref6 ref10 ref6 ref6 ref10
Basis functions --- ref15
Radial basis function networks --- ref4
INTRODUCTION --- ref8
BACKGROUND --- ref15
Modified estimator for RBFN weights --- ref6 ref4 ref12 ref17 ref6";"";"none extracted value";"0,00";"0,00"
"TUW-138544";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138544.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138544-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138544-xstream.xml"")";"INTRODUCTION --- ref1 ref2
MPEG-7 aggregation and localisation structures --- ref4
General framework design --- ref5 ref2 ref3
Overview --- ref5 ref6
Implementation details --- ref7";"";"none extracted value";"0,00";"0,00"
"TUW-138547";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138547.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138547-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138547-xstream.xml"")";"Introduction --- ref4 ref5 ref6
Software --- ref3
Conclusions and future work --- ref6
Related work --- ref2 ref1 ref7 ref4 ref5 ref6 ref6 ref5 ref4";"";"none extracted value";"0,00";"0,00"
"TUW-139299";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139299.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139299-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139299-xstream.xml"")";"The Plan Representation Language Asbru --- ref8 ref5
Related Work --- ref6 ref11 ref3 ref9 ref7
Introduction --- ref4 ref10
Design and Implementation --- ref1 ref2";"The Plan Representation Language Asbru --- ref9 ref4
Related Work --- ref6 ref2 ref8
Introduction --- ref3 ref11
Design and Implementation --- ref1 ref2";"25,00";"25,00";"25,00"
"TUW-139761";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139761.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139761-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139761-xstream.xml"")";"Overview of Genetic Programming --- Koz92 Hol75
Fitness function and bloat control --- Koz92 PL04 PL04 PL04
Additional settings --- Rey92 Hol75 Fra94
Control parameters --- Koz92 Koz92
Option pricing --- Hul02 Nef00
Population size, number of generations and mutation --- Koz92 Keb99
Monte Carlo simulation of a GARCH process --- Dua95 GS96 Dua95 BBG97 BBG97 DS95 BBG97
Functions and terminals --- Keb99 Nol97
Terminal set and function set --- Koz92
Genetic operations --- Koz92 Fra94 Fra94 KBAK99 KBAK99
Introduction --- BCK92 Hol75 Koz92 K+03 Han98 DS01
GPOPdata --- Wei97
The Black-Scholes formula --- Hul02 Nef00 BS73 Nef00
Creation of the initial population --- Koz92 Fra94
Neural networks --- Han98 Han97 Han97 Han97
Discrete-time stochastic processes --- Hul02
The GARCH model --- Bol86 Eng82 BCK92 Han98
Some definitions and basic models --- Nef00 Hul02 Hul02 Hul02
Genetic algorithms --- BFM97 Mic92 Hol75 Koz92 Mic92
Automatic defined functions --- Koz94 KBAK99 KBAK99
Bloat control --- PL04 PL04 Koz92 PL04
Genetic Programming --- Keb99 Hul02
Comparison of the result with [DS01] --- DS01 DS01 DS01 DS01
Future issues --- DS01
Basic terminology --- Mic92 Mic92 Koz92
Strategic decisions of the new approach --- Koz92
A survey of existing approaches in option pricing --- Han97 DS95 Keb99
Comparison of the result with [Keb99] --- Keb99 Keb99 Keb99
Comparison of the result with [Han98] --- Han98 Han98 Han98
A random number generator library --- Dav02 Dav02 Dav02
GNU Scientific Library --- G+04 G+04
Libraries --- Str98
Genetic Programming --- Koz92 BNKF98 KBAK99
GARCH process --- Han98
New classes and functions --- Nol97 Zol86
Markov chain approximation --- DS01 Han98 DS01 DS01 Keb99
The Genetic Programming kernel --- Sin94 Fra94 Wei97 Obj03 Wei97 Wei97 Wei97 Wei97
Test results --- Vie97";"";"none extracted value";"0,00";"0,00"
"TUW-139769";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139769.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139769-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139769-xstream.xml"")";"Branch and Cut --- ref31
Thesis Overview --- ref13
Long Runs --- ref2 ref14
Local Branching Extensions --- ref13 ref8
Generating Log Files --- ref2
Local Branching --- ref13
Greedy Heuristics --- ref38 ref37 ref38
Test File Format --- ref6
Cutting Plane Algorithms --- ref30 ref15 ref16 ref7 ref30 ref10 ref11 ref1 ref5
Evolutionary Algorithms --- ref33 ref34 ref35 ref6 ref9 ref18 ref17 ref33 ref39
Local Branching and Node Limits --- ref2
Algorithms for Knapsack Problems --- ref32 ref23 ref19
Relaxation-Based Heuristics --- ref3
Introduction --- ref25 ref30 ref13
Design of COIN/BCP --- ref36
Branch and Cut --- ref26 ref29 ref36 ref42
MK-gk11: 2500 variables, 100 constraints --- ref14
Multidimensional Knapsack Problems --- ref24 ref4
Hybrid Algorithms --- ref27 ref40 ref41
Introduction --- ref21
History --- ref12
Developing Applications with COIN/BCP --- ref36 ref36
Branch and Bound --- ref25 ref20
Tightening the Search Tree by Variable Fixing --- ref8
Test Results --- ref2 ref14
Relaxations --- ref22 ref20
COIN/BCP --- ref28";"Branch and Cut --- ref31
Hybrid Algorithms --- ref27 ref40
Thesis Overview --- ref13
Long Runs --- ref2 ref14
Local Branching Extensions --- ref13 ref8
Greedy Heuristics --- ref38 ref37 ref38
Test File Format --- ref6
Cutting Plane Algorithms --- ref30 ref15 ref16 ref7 ref30 ref10 ref11 ref1 ref5
Chapter 1 Introduction --- ref25 ref30 ref13
Evolutionary Algorithms --- ref33 ref34 ref35 ref6 ref9 ref18 ref17 ref33 ref39
Local Branching and Node Limits --- ref2
Relaxation-Based Heuristics --- ref3
Design of COIN/BCP --- ref36
MK-gk11: 2500 variables, 100 constraints --- ref14
B.1 Generating Log Files --- ref2
Chapter 5 COIN/BCP --- ref28
Introduction --- ref21
History --- ref12
Developing Applications with COIN/BCP --- ref36 ref36
Tightening the Search Tree by Variable Fixing --- ref8
Test Results --- ref2 ref14
Relaxations --- ref22 ref20
Algorithms for Knapsack Problems --- ref32 ref23
Multidimensional Knapsack Problems --- ref4
Chapter 2 Branch and Cut --- ref26 ref29 ref36 ref42";"84,00";"77,78";"80,77"
"TUW-139781";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139781.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139781-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139781-xstream.xml"")";"The Branch-and-Cut Part --- ref7 ref8 ref1 ref2 ref7 ref8
The Multidimensional Knapsack Problem --- ref4 ref7 ref8 ref8 ref6 ref1
Computational Experiments --- ref7 ref8 ref7 ref8 ref8 ref7 ref8 ref7 ref8 ref7 ref8 ref8
The Memetic Algorithm Part --- ref5 ref3 ref6 ref3 ref1";"779 --- ref7 ref8 ref8 ref7 ref8 ref7 ref8 ref7 ref8 ref8
The Memetic Algorithm Part --- ref5 ref3 ref6 ref3 ref1
The Multidimensional Knapsack Problem --- ref8 ref8 ref6 ref1
The Branch-and-Cut Part --- ref7 ref8 ref1 ref2";"75,00";"75,00";"75,00"
"TUW-139785";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139785.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139785-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139785-xstream.xml"")";"Test Cases --- ref7 ref34
Class qapChrom --- ref26
Trace Formulation --- ref10
Heuristics --- ref15
Exact Algorithms --- ref13 ref5 ref2
Metaheuristics --- ref16 ref19 ref4
Lower Bounds --- ref15 ref25 ref1 ref36
Simulated Annealing --- ref22 ref8 ref31 ref21
Problem Description --- ref27 ref24
Quadratic Assignment Problem --- ref23 ref27 ref39 ref20 ref14 ref5 ref27
Greedy Randomized Adaptive Search Procedure --- ref11 ref12 ref12 ref26 ref37 ref38
Basic Local Search --- ref28 ref29 ref30
Steinberg Wiring Problem --- ref40 ref6
Applications --- ref23
List of Figures --- ref33
Tabu Search --- ref16 ref41 ref3 ref17 ref18
Requirements --- ref35
Guided Local Search --- ref43 ref44 ref32 ref44 ref42 ref45
Experimental Results --- ref7 ref34
Formulations --- ref27 ref9
Parameters --- ref7
Antenna Assembly Sequence Problem --- ref33 ref33
Integer Linear Programming --- ref23";"Test Cases --- ref7 ref34
Quadratic Assignment Problem --- ref23 ref27 ref20 ref14 ref5 ref27
Greedy Randomized Adaptive Search Proce- dure --- ref11 ref12 ref12 ref26 ref37
Trace Formulation --- ref10
Formulations --- ref27
Heuristics --- ref15
Exact Algorithms --- ref13 ref5 ref2
24 --- ref17 ref18 ref25
Metaheuristics --- ref16
Simulated Annealing --- ref22 ref8 ref31 ref21
Lower Bounds --- ref15 ref25 ref1 ref36 ref1
Steinberg Wiring Problem --- ref40 ref6 ref16
8 --- ref27 ref24
Tabu Search --- ref16 ref41 ref3
20 --- ref28 ref29 ref30
Applications --- ref23
Guided Local Search --- ref43 ref44 ref32 ref44
Algorithms (GA), Guided Local Search (GLS), Greedy Randomized Adaptive Search --- ref19 ref4
Algorithm 5: Guided Local Search --- ref42 ref45
Experimental Results --- ref7 ref34
Chapter 4 Requirements --- ref35
Integer Linear Programming --- ref23";"68,18";"65,22";"66,67"
"TUW-140047";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140047.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140047-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140047-xstream.xml"")";"Introduction --- ref1 ref2
Audio Cover Song Identification --- ref3
Audio Feature Extraction --- ref3 ref4 ref2 ref5";"";"none extracted value";"0,00";"0,00"
"TUW-140048";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140048.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140048-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140048-xstream.xml"")";"Processing information exchanges between partners --- [Obj04] [Ros02] [ISO95] [BJJW02]
The transformation process: An overview --- [Obj00] [HH04a] [HH04b]
Related work --- [HHK05] [BEA03] [Wor04] [Obj00] [Wor99]
Motivation --- [UN/01] [UN/03] [HH04a] [HHK05]
Processing collaborations between partners --- [UN/01]
Processing collaborations between partners --- [Obj04]
Processing information exchanges between partners --- [HH04a]";"";"none extracted value";"0,00";"0,00"
"TUW-140229";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140229.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140229-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140229-xstream.xml"")";"Calculation of learning styles --- ref6 ref7 ref4 ref8 ref9 ref10
Patterns of behavior --- ref5
Introduction --- ref1 ref2 ref3 ref4";"";"none extracted value";"0,00";"0,00"
"TUW-140253";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140253.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140253-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140253-xstream.xml"")";"INTRODUCTION --- ref21 ref1
DISCUSSION, RELATED WORK --- ref19 ref21 ref23 ref32 ref3 ref4 ref6 ref16 ref19 ref2 ref14 ref18 ref20 ref26 ref7 ref15 ref17 ref34 ref28 ref25 ref29 ref35 ref5 ref30 ref8 ref33 ref15 ref13 ref8 ref12 ref24 ref33 ref27 ref9 ref22 ref11
STATIC PROCESS TYPES --- ref21
CONCLUSION --- ref10 ref32 ref31";"DISCUSSION, RELATED WORK --- ref4 ref10 ref10 ref7";"0,00";"0,00";"0,00"
"TUW-140308";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140308.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140308-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140308-xstream.xml"")";"Introduction --- ref1 ref2
What Is Algorithmic Thinking? --- ref3
How to Teach Algorithmic Thinking? --- ref4 ref1";"";"none extracted value";"0,00";"0,00"
"TUW-140533";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140533.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140533-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140533-xstream.xml"")";"Summary --- Gries,1989 Dijkstra and Scholten,1990 Gries,1989 Hoare,2003
Weakest Preconditions --- Gannon et al.,1993 Gries,1989 Dijkstra and Scholten,1990 Winkler,1995
PVS Specification and Verification System --- Owre et al.,1992 Owre et al.,2001a Owre et al.,2001a Owre et al.,2001a Owre and Shankar,1999 Owre et al.,2001a Owre et al.,2001a Owre et al.,2001b Owre et al.,2001c Owre et al.,1992 Owre et al.,1998
Methodology --- Freining et al.,2002 Griffioen and Huisman,1998
Historical perspective --- Jones,2003 Hoare,1969 Hoare,2003 Mayer,2003
Natural Deduction --- Juth and Ryan,2004 van Dalen,2004
Perfect Developer --- Crocker,2001 Crocker,2004b Crocker,2004a Crocker,2003b Crocker,2003a
Overview --- Griffioen and Huisman,1998 Zolda,2004 Freining et al.,2002
Examples --- Bundy,2004
Frege Program Prover --- Clarke and Zhao,1993 Bauer et al.,1998 Baader and Nipkow,1998 Bauer et al.,1998 Winkler,1995 Freining et al.,2002
Quicksort --- Griffioen and Huisman,1998
Sequent Calculus --- Gentzen,1935 Fitting,1990 Gallier,2003 Salzer,2002
KeY System --- Ahrendt et al.,2004 OMG,2003a OMG,2003b Ahrendt et al.,2004 Sun Microsystems,2003 Ahrendt et al.,2004 Ahrendt et al.,2004 Beckert et al.,2004
Hoare Calculus --- Hoare,1969 Apt and Olderog,1994 Salzer,2002
Theoretical Foundations --- Gallier 2003 Huth and Ryan 2004";"Summary --- ref19 ref13 ref19
Axioms: --- ref17 ref19
PVS Specification and Verification System --- ref31 ref32 ref28
Sequent Calculus --- ref18
Hard-coded rewrite rules --- ref12 ref11 ref10
Frege Program Prover --- ref4
Quicksort --- ref20";"0,00";"0,00";"0,00"
"TUW-140867";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140867.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140867-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140867-xstream.xml"")";"INTRODUCTION --- ref7 ref2
FORMAL VERIFICATION OF SOFTWARE --- ref4 ref6 ref5 ref9 ref1 ref3 ref6 ref8";"";"none extracted value";"0,00";"0,00"
"TUW-140895";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140895.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140895-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140895-xstream.xml"")";"PREVIOUS WORK --- ref27 ref3 ref4 ref18 ref19 ref14 ref22 ref14 ref18 ref1 ref26 ref31 ref8 ref31 ref24 ref25 ref21
NEIGHBOURHOOD STRUCTURES --- ref21
Variable Neighbourhood Search --- ref28 ref29 ref23
Ant Colony Optimisation --- ref12 ref11 ref10 ref13 ref12 ref11 ref31
Node Swap Neighbourhood --- ref21
Ant Colony Optimisation --- ref10 ref13 ref9 ref17 ref20 ref10 ref13 ref10 ref13 ref13 ref34 ref33 ref12 ref11
Variable Neighbourhood Descent --- ref23 ref21
User Manual --- ref18 ref14
INTRODUCTION --- ref6 ref15 ref5 ref7 ref32 ref2 ref21
IMPLEMENTATION --- ref31 ref25 ref21
COMPUTATIONAL RESULTS --- ref21 ref25 ref21 ref21 ref21 ref21 ref21 ref21 ref31 ref21
METAHEURISTICS --- ref30 ref15 ref6 ref35 ref16";"Edge Exchange Neighbourhood --- ref25
COMPUTATIONAL RESULTS --- ref22 ref26 ref22 ref22 ref22 ref22 ref22
Ant Colony Optimisation --- ref11 ref14 ref13 ref12 ref32
Node Swap Neighbourhood --- ref26
IMPLEMENTATION --- ref32 ref26 ref22
NEIGHBOURHOOD STRUCTURES --- ref22
Variable Neighbourhood Descent --- ref22
34 --- ref5 ref37
METAHEURISTICS --- ref31 ref16 ref7 ref37 ref17 ref14
PREVIOUS WORK --- ref28 ref4 ref5 ref19 ref20 ref15 ref23 ref15 ref19 ref2 ref27 ref32 ref9 ref32 ref25 ref26
21 --- ref22
20 --- ref36 ref35 ref13 ref12
Variable Neighbourhood Search --- ref24
Ant Colony Optimisation --- ref11 ref14 ref10 ref18 ref21 ref18 ref19 ref11 ref14 ref11 ref14 ref14
54 --- ref32 ref22";"6,67";"8,33";"7,41"
"TUW-140983";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140983.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140983-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140983-xstream.xml"")";"Introduction --- ref4
The Add-A-Tag algorithm --- ref2
Evaluation of profile adaptivity --- ref1 ref3";"";"none extracted value";"0,00";"0,00"
"TUW-141024";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141024.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141024-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-141024-xstream.xml"")";"Extending Asbru --- ref8 ref8
Extending PROforma --- ref10
Motivation --- ref9 ref4 ref9 ref8 ref11
The way to the meta schema --- ref7 ref7 ref1 ref5
Introduction --- ref3 ref2 ref6";"Extending Asbru --- ref8 ref8
Extending PROforma --- ref10
Motivation --- ref9 ref4 ref9 ref8 ref11
The way to the meta schema --- ref7 ref7 ref1 ref5";"100,00";"80,00";"88,89"
