"path";"PDF";"original";"extracted";"PublicationType";"Title";"Abstract";"Abstract (german)";"Keywords";"Authors";"Emails";"Author-Emails";"Affiliations";"Author-Affiliations";"Source";"Volume";"Issue";"Page from";"Page to";"Year";"Doi";"Sections";"Section-Levels";"Section-References";"References";"Precision";"Recall";"F1"
"TUW-137078";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-137078-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"100,00";"100,00";"66,67";"66,67";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"NA";"100,00";"100,00";"100,00";"90,91";"93,94"
"TUW-138011";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138011-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"NA";"88,89";"0,00";"0,00";"100,00";"80,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"88,89";"88,89";"80,00";"100,00";"80,00";"71,52";"75,15"
"TUW-138447";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138447.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138447-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138447-xstream.xml"")";"Zeitschriftenartikel";"0,00";"100,00";"NA";"100,00";"100,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"88,24";"93,33";"0,00";"95,00";"98,59";"76,58";"77,66"
"TUW-138544";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138544.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138544-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138544-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"NA";"100,00";"0,00";"0,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"88,89";"92,31";"44,44";"92,31";"93,59";"72,47";"74,36"
"TUW-138547";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138547.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138547-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138547-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"96,00";"96,30";"0,00";"85,71";"89,61";"88,26";"88,91"
"TUW-139299";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139299.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139299-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139299-xstream.xml"")";"Zeitschriftenartikel";"100,00";"100,00";"NA";"NA";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"NA";"83,33";"90,91";"0,00";"86,96";"83,33";"82,20";"82,65"
"TUW-139761";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139761.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139761-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139761-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"0,00";"0,00";"NA";"40,00";"NA";"NA";"100,00";"40,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"84,13";"85,45";"0,00";"88,31";"65,06";"65,25";"53,79"
"TUW-139769";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139769.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139769-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139769-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"100,00";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"85,34";"84,82";"88,00";"100,00";"64,20";"54,18";"55,82"
"TUW-139781";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139781.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139781-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139781-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"NA";"NA";"NA";"100,00";"NA";"NA";"100,00";"100,00";"0,00";"NA";"NA";"NA";"NA";"0,00";"NA";"93,33";"100,00";"100,00";"100,00";"98,44";"80,00";"79,33"
"TUW-139785";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139785.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139785-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139785-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"100,00";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"85,71";"93,81";"0,00";"88,00";"50,95";"48,04";"46,75"
"TUW-140047";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140047.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140047-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140047-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"NA";"100,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"87,50";"77,42";"0,00";"90,91";"84,06";"84,23";"83,98"
"TUW-140048";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140048.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140048-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140048-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"NA";"100,00";"66,67";"66,67";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"65,00";"92,31";"0,00";"100,00";"95,20";"79,31";"80,97"
"TUW-140229";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140229.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140229-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140229-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"NA";"NA";"66,67";"66,67";"66,67";"100,00";"50,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"85,71";"92,31";"80,00";"100,00";"82,79";"69,70";"73,46"
"TUW-140253";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140253.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140253-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140253-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"92,31";"92,31";"85,71";"84,34";"97,74";"95,54";"96,22"
"TUW-140308";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140308.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140308-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140308-xstream.xml"")";"Zeitschriftenartikel";"100,00";"100,00";"NA";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"0,00";"NA";"NA";"0,00";"0,00";"0,00";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"73,33";"73,33"
"TUW-140533";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140533.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140533-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140533-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"100,00";"0,00";"NA";"NA";"NA";"NA";"NA";"0,00";"NA";"67,30";"98,99";"0,00";"98,70";"60,69";"40,99";"42,27"
"TUW-140867";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140867.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140867-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140867-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"0,00";"100,00";"NA";"NA";"100,00";"100,00";"0,00";"NA";"NA";"NA";"NA";"0,00";"NA";"82,35";"100,00";"0,00";"94,74";"84,44";"66,67";"64,76"
"TUW-140895";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140895.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140895-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140895-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"0,00";"0,00";"NA";"NA";"NA";"NA";"NA";"0,00";"NA";"87,80";"94,74";"66,67";"100,00";"49,25";"41,47";"40,84"
"TUW-140983";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-140983.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-140983-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-140983-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"0,00";"100,00";"40,00";"40,00";"100,00";"66,67";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"66,67";"100,00";"80,00";"100,00";"83,33";"69,23";"68,72"
"TUW-141024";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141024.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141024-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-141024-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"NA";"100,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"100,00";"100,00"
"TUW-141065";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141065.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141065-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-141065-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"NA";"100,00";"66,67";"66,67";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"66,67";"100,00";"91,34";"90,53";"90,91"
"TUW-141121";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141121.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141121-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-141121-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"50,00";"92,31";"94,16";"95,45";"94,76"
"TUW-141140";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141140.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141140-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-141140-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"100,00";"NA";"NA";"100,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"73,33";"100,00";"100,00";"87,50";"93,93";"98,61";"95,65"
"TUW-141336";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141336.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141336-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-141336-xstream.xml"")";"Zeitschriftenartikel";"100,00";"100,00";"NA";"NA";"50,00";"50,00";"50,00";"0,00";"0,00";"100,00";"100,00";"NA";"100,00";"100,00";"100,00";"NA";"91,67";"100,00";"83,33";"100,00";"85,50";"73,96";"76,56"
"TUW-141618";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141618.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141618-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-141618-xstream.xml"")";"Buchbeiträge";"100,00";"100,00";"NA";"NA";"100,00";"NA";"NA";"100,00";"33,33";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"55,56";"100,00";"30,77";"98,67";"78,67";"86,11";"79,81"
"TUW-141758";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-141758.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-141758-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-141758-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"100,00";"0,00";"NA";"100,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"100,00";"NA";"86,82";"90,60";"0,00";"81,82";"84,91";"79,27";"78,11"
"TUW-168222";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-168222.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-168222-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-168222-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"NA";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"50,00";"0,00";"0,00";"0,00";"81,25";"59,09";"59,09"
"TUW-168482";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-168482.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-168482-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-168482-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"NA";"80,00";"NA";"NA";"0,00";"0,00";"NA";"NA";"NA";"NA";"NA";"0,00";"NA";"75,41";"73,68";"0,00";"79,41";"32,77";"34,35";"28,05"
"TUW-169511";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-169511.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-169511-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-169511-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"NA";"NA";"NA";"100,00";"66,67";"66,67";"66,67";"75,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"100,00";"100,00";"94,17";"84,17";"87,50"
"TUW-172697";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-172697.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-172697-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-172697-xstream.xml"")";"Beiträge in Tagungsbänden";"0,00";"0,00";"NA";"75,00";"100,00";"NA";"NA";"100,00";"100,00";"0,00";"NA";"NA";"NA";"NA";"0,00";"NA";"33,33";"NA";"100,00";"85,71";"63,33";"61,36";"54,00"
"TUW-174216";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-174216.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-174216-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-174216-xstream.xml"")";"Zeitschriftenartikel";"100,00";"100,00";"NA";"88,89";"100,00";"NA";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"87,50";"87,50";"0,00";"59,09";"91,88";"86,93";"88,94"
"TUW-175428";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-175428.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-175428-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-175428-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"NA";"100,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"0,00";"NA";"71,58";"87,67";"0,00";"90,00";"78,73";"50,17";"49,93"
