"path";"PDF";"original";"extracted";"PublicationType";"Title";"Publicationtype";"Abstract";"Keywords";"Authors";"Emails";"Author-Emails";"Affiliations";"Author-Affiliations";"Source";"Volume";"Issue";"Page from";"Page to";"Date";"Doi";"Sections";"Section-Levels";"Section-References";"References";"Precision";"Recall";"F1"
"TUW-137078";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-137078-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"100,00";"66,67";"66,67";"66,67";"100,00";"66,67";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"66,67";"NA";"0,00";"100,00";"88,64";"63,33";"69,44"
"TUW-138011";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-138011-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"NA";"100,00";"50,00";"50,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"0,00";"100,00";"100,00";"86,67";"83,33";"75,00"
"TUW-138447";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-138447.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-138447-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-138447-xstream.xml"")";"Zeitschriftenartikel";"0,00";"0,00";"100,00";"100,00";"0,00";"NA";"NA";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"94,12";"96,77";"0,00";"0,00";"36,36";"34,79";"24,43"
"TUW-138544";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-138544.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-138544-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-138544-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"NA";"0,00";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"96,55";"60,00";"100,00";"71,43";"80,68";"42,86";"44,00"
"TUW-138547";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-138547.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-138547-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-138547-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"78,57";"0,00";"50,00";"85,71";"91,43";"76,19";"76,19"
"TUW-139299";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-139299.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-139299-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-139299-xstream.xml"")";"Zeitschriftenartikel";"100,00";"0,00";"100,00";"NA";"100,00";"NA";"NA";"NA";"NA";"0,00";"0,00";"0,00";"NA";"NA";"NA";"NA";"66,67";"0,00";"0,00";"90,91";"50,84";"57,20";"41,60"
"TUW-139761";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-139761.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-139761-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-139761-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"0,00";"0,00";"NA";"66,67";"NA";"NA";"0,00";"0,00";"NA";"NA";"NA";"0,00";"0,00";"NA";"NA";"0,00";"0,00";"0,00";"0,00";"16,67";"20,00";"13,89"
"TUW-139769";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-139769.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-139769-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-139769-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"0,00";"0,00";"0,00";"17,39";"18,18";"10,95";"7,83"
"TUW-139781";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-139781.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-139781-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-139781-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"0,00";"NA";"66,67";"NA";"NA";"0,00";"0,00";"0,00";"NA";"NA";"0,00";"0,00";"0,00";"NA";"100,00";"0,00";"100,00";"100,00";"58,33";"42,42";"33,33"
"TUW-139785";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-139785.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-139785-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-139785-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"0,00";"0,00";"NA";"NA";"NA";"0,00";"0,00";"NA";"NA";"0,00";"0,00";"0,00";"45,16";"30,39";"13,11";"12,10"
"TUW-140047";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-140047.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-140047-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-140047-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"NA";"0,00";"NA";"NA";"100,00";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"58,33";"50,00";"50,00";"80,00";"73,97";"48,98";"53,83"
"TUW-140048";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-140048.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-140048-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-140048-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"57,14";"13,33";"0,00";"78,57";"97,33";"69,31";"70,75"
"TUW-140229";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-140229.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-140229-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-140229-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"54,55";"60,00";"40,00";"90,00";"88,64";"76,94";"78,71"
"TUW-140253";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-140253.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-140253-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-140253-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"100,00";"100,00";"100,00";"100,00";"0,00";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"83,33";"60,00";"0,00";"100,00";"75,00";"62,64";"64,87"
"TUW-140308";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-140308.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-140308-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-140308-xstream.xml"")";"Zeitschriftenartikel";"100,00";"0,00";"100,00";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"0,00";"NA";"NA";"100,00";"100,00";"NA";"NA";"63,16";"47,06";"100,00";"75,00";"98,08";"76,79";"79,01"
"TUW-140533";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-140533.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-140533-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-140533-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"0,00";"0,00";"NA";"NA";"NA";"0,00";"0,00";"0,00";"NA";"8,82";"0,00";"0,00";"14,29";"35,71";"10,21";"9,47"
"TUW-140867";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-140867.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-140867-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-140867-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"0,00";"100,00";"0,00";"NA";"NA";"0,00";"0,00";"0,00";"NA";"NA";"NA";"NA";"0,00";"NA";"100,00";"100,00";"66,67";"100,00";"75,00";"42,31";"43,59"
"TUW-140895";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-140895.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-140895-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-140895-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"0,00";"0,00";"NA";"NA";"NA";"0,00";"0,00";"0,00";"NA";"44,44";"48,00";"0,00";"13,95";"31,25";"15,61";"15,88"
"TUW-140983";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-140983.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-140983-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-140983-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"0,00";"0,00";"40,00";"0,00";"0,00";"40,00";"25,00";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"100,00";"100,00";"100,00";"100,00";"67,04";"44,05";"43,21"
"TUW-141024";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-141024.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-141024-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-141024-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"NA";"0,00";"NA";"NA";"100,00";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"80,00";"85,71";"75,00";"100,00";"97,96";"61,00";"64,07"
"TUW-141065";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-141065.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-141065-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-141065-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"NA";"100,00";"100,00";"100,00";"100,00";"100,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"73,68";"73,68";"66,67";"92,86";"99,35";"79,96";"83,91"
"TUW-141121";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-141121.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-141121-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-141121-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"NA";"66,67";"0,00";"0,00";"100,00";"66,67";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"54,55";"0,00";"66,67";"100,00";"84,38";"57,74";"54,55"
"TUW-141140";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-141140.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-141140-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-141140-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"NA";"100,00";"NA";"NA";"83,33";"85,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"50,00";"0,00";"66,67";"100,00";"89,37";"67,14";"68,50"
"TUW-141336";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-141336.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-141336-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-141336-xstream.xml"")";"Zeitschriftenartikel";"100,00";"0,00";"100,00";"NA";"0,00";"50,00";"0,00";"0,00";"0,00";"100,00";"100,00";"0,00";"100,00";"100,00";"NA";"NA";"40,00";"30,77";"50,00";"100,00";"68,75";"50,62";"51,22"
"TUW-141618";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-141618.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-141618-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-141618-xstream.xml"")";"Buchbeiträge";"0,00";"0,00";"100,00";"NA";"0,00";"NA";"NA";"0,00";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"80,00";"88,89";"0,00";"82,54";"63,33";"33,03";"35,14"
"TUW-141758";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-141758.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-141758-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-141758-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"66,67";"0,00";"NA";"NA";"NA";"0,00";"0,00";"NA";"NA";"0,00";"0,00";"0,00";"68,82";"27,84";"26,53";"19,62"
"TUW-168222";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-168222.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-168222-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-168222-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"NA";"0,00";"0,00";"0,00";"100,00";"0,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"25,00";"0,00";"0,00";"100,00";"70,83";"35,42";"35,42"
"TUW-168482";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-168482.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-168482-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-168482-xstream.xml"")";"Diplom- oder Masterarbeiten";"100,00";"0,00";"0,00";"NA";"0,00";"NA";"NA";"0,00";"0,00";"NA";"0,00";"NA";"0,00";"0,00";"0,00";"NA";"0,00";"0,00";"0,00";"0,00";"11,11";"9,09";"7,14"
"TUW-169511";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-169511.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-169511-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-169511-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"NA";"NA";"100,00";"80,00";"80,00";"66,67";"75,00";"NA";"NA";"NA";"NA";"NA";"NA";"NA";"88,89";"100,00";"100,00";"100,00";"87,50";"83,79";"80,96"
"TUW-172697";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-172697.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-172697-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-172697-xstream.xml"")";"Beiträge in Tagungsbänden";"100,00";"0,00";"100,00";"0,00";"100,00";"NA";"NA";"100,00";"100,00";"0,00";"0,00";"0,00";"NA";"NA";"0,00";"NA";"100,00";"NA";"0,00";"0,00";"66,67";"50,00";"42,86"
"TUW-174216";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-174216.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-174216-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-174216-xstream.xml"")";"Zeitschriftenartikel";"100,00";"0,00";"100,00";"0,00";"57,14";"0,00";"0,00";"50,00";"44,44";"0,00";"0,00";"0,00";"100,00";"100,00";"0,00";"NA";"82,35";"0,00";"0,00";"92,86";"56,63";"40,76";"38,25"
"TUW-175428";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-175428.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-175428-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\cermine\cermine-TUW-175428-xstream.xml"")";"Diplom- oder Masterarbeiten";"0,00";"0,00";"0,00";"0,00";"0,00";"NA";"NA";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"NA";"14,81";"12,77";"0,00";"31,25";"8,32";"3,90";"3,46"
